generation,average
0,15.3
1,18.55
2,19.45
3,20.1
4,21.45
5,22.1
6,22.5
7,22.3
8,22.7
9,22.4
10,22.7
11,23.05
12,23.0
13,23.65
14,24.05
15,24.5
16,24.0
17,23.9
18,23.05
19,22.9
20,22.6
21,22.7
22,22.5
23,22.5
24,23.4
25,23.7
26,23.75
27,23.55
28,23.65
29,23.5
30,22.85
31,23.1
32,22.5
33,22.2
34,22.25
35,21.85
36,22.35
37,22.25
38,22.1
39,22.15
40,22.1
41,22.45
42,22.95
43,23.0
44,23.65
45,24.35
46,24.1
47,24.0
48,24.05
49,23.4
50,22.95
51,23.5
52,24.2
53,23.8
54,23.6
55,23.25
56,23.45
57,22.75
58,24.2
59,24.45
60,23.3
61,23.5
62,23.45
63,22.5
64,23.3
65,23.15
66,22.9
67,22.8
68,22.95
69,22.5
70,22.65
71,23.25
72,23.6
73,24.15
74,24.4
75,24.3
76,24.25
77,23.6
78,24.35
79,23.45
80,23.95
81,24.3
82,24.55
83,24.65
84,24.75
85,24.3
86,24.55
87,24.3
88,24.05
89,24.2
90,24.45
91,24.2
92,23.5
93,24.05
94,24.3
95,23.9
96,23.5
97,23.85
98,23.25
99,23.75
100,24.65
101,25.25
102,25.35
103,25.15
104,24.9
105,24.75
106,24.65
107,24.2
108,23.8
109,23.75
110,23.05
111,22.75
112,22.85
113,23.5
114,23.15
115,23.35
116,23.4
117,23.25
118,22.85
119,23.7
120,23.15
121,23.05
122,24.0
123,24.0
124,22.9
125,23.35
126,23.7
127,24.15
128,24.45
129,24.15
130,23.4
131,24.35
132,24.6
133,23.65
134,23.55
135,24.45
136,24.15
137,23.45
138,24.0
139,24.1
140,24.2
141,23.7
142,23.95
143,23.9
144,24.3
145,23.7
146,23.15
147,23.05
148,22.9
149,23.25
150,23.0
151,22.55
152,22.5
153,22.6
154,22.75
155,22.95
156,22.7
157,22.15
158,21.7
159,22.9
160,23.2
161,23.55
162,23.45
163,23.45
164,24.1
165,23.3
166,23.1
167,23.45
168,23.45
169,22.65
170,22.7
171,23.3
172,23.4
173,23.55
174,24.0
175,24.35
176,23.5
177,23.55
178,23.7
179,23.85
180,23.85
181,24.2
182,24.2
183,24.2
184,23.0
185,22.9
186,22.7
187,22.45
188,22.6
189,23.15
190,23.6
191,24.25
192,24.2
193,23.35
194,22.7
195,22.9
196,22.9
197,23.4
198,24.1
199,24.95
200,24.25
201,24.05
202,24.85
203,23.9
204,22.8
205,22.9
206,23.05
207,22.9
208,24.1
209,23.85
210,23.85
211,23.6
212,24.05
213,24.15
214,23.65
215,23.5
216,24.0
217,23.85
218,24.4
219,24.8
220,23.8
221,23.4
222,24.3
223,23.75
224,24.25
225,24.25
226,24.7
227,24.15
228,23.55
229,23.7
230,22.3
231,22.4
232,23.05
233,24.3
234,24.1
235,23.65
236,24.8
237,24.75
238,25.1
239,23.95
240,23.75
241,22.95
242,23.2
243,22.95
244,23.8
245,23.85
246,24.0
247,23.6
248,23.65
249,23.8
250,24.55
251,24.75
252,24.6
253,24.55
254,24.2
255,24.8
256,25.1
257,25.1
258,24.6
259,24.0
260,24.05
261,23.7
262,23.4
263,23.55
264,24.15
265,23.8
266,23.65
267,23.5
268,23.65
269,23.1
270,23.1
271,23.05
272,23.45
273,23.25
274,24.0
275,24.6
276,23.85
277,23.95
278,24.0
279,24.25
280,23.85
281,24.55
282,24.8
283,25.25
284,24.7
285,23.95
286,24.35
287,24.15
288,23.35
289,23.7
290,23.45
291,23.55
292,24.35
293,24.2
294,23.7
295,23.6
296,23.7
297,24.2
298,24.2
299,23.5
300,24.1
301,23.75
302,23.6
303,23.55
304,23.55
305,23.4
306,23.6
307,24.2
308,24.25
309,23.65
310,24.85
311,23.9
312,23.95
313,23.9
