generation,average
0,15.65
1,18.1
2,19.5
3,20.15
4,20.35
5,21.1
6,21.3
7,21.65
8,21.55
9,22.25
10,22.85
11,22.8
12,23.2
13,23.0
14,23.35
15,23.2
16,23.3
17,23.3
18,23.55
19,23.6
20,23.8
21,23.8
22,24.85
23,24.15
24,23.75
25,23.3
26,22.95
27,22.95
28,22.8
29,22.9
30,23.55
31,22.9
32,22.4
33,23.6
34,24.05
35,23.2
36,22.9
37,22.95
38,24.1
39,23.45
40,23.1
41,23.5
42,24.4
43,25.0
44,24.3
45,24.15
46,24.05
47,23.3
48,23.55
49,23.4
50,23.5
51,22.85
52,22.9
53,22.65
54,22.8
55,23.25
56,23.75
57,23.6
58,23.1
59,24.15
60,24.3
61,24.1
62,23.6
63,23.4
64,24.05
65,24.5
66,24.3
67,24.2
68,24.45
69,24.4
70,23.65
71,24.05
72,23.4
73,23.4
74,23.5
75,23.4
76,22.8
77,23.65
